Date,Price_Oil,Price_Dollar,Price_Gold
12/10/19,57.24,97.95,"1,475.10"
12/9/19,57.15,97.98,"1,478.60"
12/8/19,56.35,97.5,"1,505.60"
12/7/19,57.23,97.24,"1,496.00"
12/6/19,56.54,97.35,"1,523.60"
12/5/19,56.2,97.65,"1,523.70"
12/4/19,54.18,97.69,"1,526.90"
12/3/19,55.06,97.76,"1,508.90"
12/2/19,55.54,97.83,"1,502.70"
12/1/19,55.81,97.63,"1,508.00"
11/30/19,56.66,97.49,"1,517.50"
11/29/19,56.23,97.53,"1,516.80"
11/28/19,55.97,97.33,"1,507.70"
11/27/19,54.16,97.28,"1,499.50"
11/26/19,53.31,97.61,"1,500.00"
11/25/19,53.78,98,"1,505.90"
11/24/19,53.93,98.29,"1,510.40"
11/23/19,53.36,98.45,"1,505.90"
11/22/19,52.81,98.3,"1,495.40"
11/21/19,53.59,98.7,"1,509.60"
11/20/19,54.7,99.12,"1,500.60"
11/19/19,53.55,99.13,"1,513.00"
11/18/19,52.59,98.97,"1,524.90"
11/17/19,52.63,98.81,"1,516.00"
11/16/19,52.75,98.86,"1,516.50"
11/15/19,52.81,99.02,"1,525.00"
11/14/19,52.45,99.13,"1,525.80"
11/13/19,52.64,99.38,"1,519.90"
11/12/19,53.62,99.11,"1,500.90"
11/11/19,54.07,99.13,"1,485.10"
11/10/19,55.91,99.04,"1,518.60"
11/9/19,56.41,98.34,"1,527.20"
11/8/19,56.49,98.6,"1,524.10"
11/7/19,57.29,98.51,"1,552.10"
11/6/19,58.64,98.27,"1,543.60"
11/5/19,58.09,98.56,"1,527.00"
11/4/19,58.13,98.26,"1,518.10"
11/3/19,58.11,98.61,"1,527.80"
11/2/19,59.34,98.26,"1,525.40"
11/1/19,62.9,98.31,"1,523.60"
10/31/19,54.85,98.64,"1,511.70"
10/30/19,55.09,98.33,"1,519.40"
10/29/19,55.75,98.28,"1,515.10"
10/28/19,57.4,98.39,"1,511.10"
10/27/19,57.85,98.41,"1,522.90"
10/26/19,56.52,98.45,"1,527.00"
10/25/19,56.3,99,"1,536.80"
10/24/19,56.26,98.92,"1,571.80"
10/23/19,53.94,98.92,"1,567.50"
10/22/19,54.66,98.51,"1,535.15"
10/21/19,54.8,98.21,"1,538.05"
10/20/19,55.1,98,"1,541.00"
10/19/19,56.71,98.08,"1,548.20"
10/18/19,55.78,97.64,"1,560.40"
10/17/19,54.93,98.17,"1,563.10"
10/16/19,53.64,98.3,"1,548.10"
10/15/19,54.17,98.19,"1,548.40"
10/14/19,55.35,98.35,"1,519.30"
10/13/19,55.68,98.14,"1,526.40"
10/12/19,56.34,98.14,"1,526.40"
10/11/19,56.21,97.99,"1,522.30"
10/10/19,54.87,97.81,"1,534.30"
10/9/19,54.47,97.38,"1,542.10"
10/8/19,55.23,97.49,"1,538.80"
10/7/19,57.1,97.62,"1,525.20"
10/6/19,54.93,97.54,"1,528.10"
10/5/19,54.5,97.63,"1,519.40"
10/4/19,52.54,97.52,"1,520.20"
10/3/19,51.09,98.07,"1,530.10"
10/2/19,53.63,98.37,"1,494.70"
10/1/19,54.69,98.52,"1,486.90"
9/30/19,55.66,98.05,"1,468.40"
9/29/19,53.95,98.04,"1,443.70"
9/28/19,58.58,98.01,"1,449.00"
9/27/19,58.05,97.82,"1,453.00"
9/26/19,56.87,97.73,"1,444.50"
9/25/19,56.2,97.7,"1,443.50"
9/24/19,56.02,97.26,"1,438.60"
9/23/19,55.88,97.15,"1,447.60"
9/22/19,56.77,96.79,"1,445.50"
9/21/19,56.22,97.22,"1,450.70"
9/20/19,55.63,97.39,"1,450.30"
9/19/19,55.3,96.93,"1,451.90"
9/18/19,56.78,96.81,"1,447.10"
9/17/19,57.62,97.05,"1,434.70"
9/16/19,59.58,97.1,"1,437.10"
9/15/19,60.21,97.49,"1,435.90"
9/14/19,60.2,97.38,"1,430.40"
9/13/19,60.43,97.29,"1,435.60"
9/12/19,57.83,96.77,"1,423.30"
9/11/19,57.66,96.77,"1,422.70"
9/10/19,57.51,96.73,"1,422.20"
9/9/19,56.8,96.84,"1,423.55"
9/8/19,57.34,96.13,"1,442.20"
9/7/19,56.25,96.19,"1,429.30"
9/6/19,59.09,96.21,"1,410.10"
9/5/19,58.47,96.14,"1,434.00"
9/4/19,59.43,95.98,"1,432.10"
9/3/19,59.38,96.22,"1,435.30"
9/2/19,57.83,96.63,"1,438.50"
9/1/19,57.9,97.12,"1,438.10"
8/31/19,57.43,97.64,"1,419.90"
8/30/19,56.65,97.56,"1,416.80"
8/29/19,53.76,97.57,"1,369.40"
8/28/19,53.9,97.01,"1,371.40"
8/27/19,51.93,97,"1,363.60"
8/26/19,52.51,96.69,"1,365.50"
8/25/19,52.28,96.76,"1,364.90"
8/24/19,51.14,96.54,"1,358.20"
8/23/19,53.27,97.04,"1,353.00"
8/22/19,53.26,97.32,"1,350.70"
8/21/19,53.99,97.07,"1,366.80"
8/20/19,52.59,97.14,"1,363.30"
8/19/19,51.68,97.75,"1,354.40"
8/18/19,53.48,98.14,"1,350.00"
8/17/19,53.25,98.14,"1,348.90"
8/16/19,53.5,97.95,"1,333.00"
8/15/19,56.59,97.61,"1,314.90"
8/14/19,58.81,97.61,"1,308.60"
8/13/19,59.14,97.86,"1,305.10"
8/12/19,59.16,98.04,"1,284.95"
8/11/19,58.77,98.06,"1,284.15"
8/10/19,58.63,97.93,"1,311.70"
8/9/19,57.91,98,"1,313.40"
8/8/19,61.42,97.86,"1,291.40"
8/7/19,62.99,97.57,"1,301.60"
8/6/19,63.1,97.53,"1,305.70"
8/5/19,62.76,97.32,"1,303.80"
8/4/19,62.87,97.33,"1,314.50"
8/3/19,62.02,97.37,"1,325.60"
8/2/19,61.78,97.62,"1,324.40"
8/1/19,61.04,97.63,"1,330.40"
7/31/19,61.66,97.52,"1,316.70"
7/30/19,61.7,97.52,"1,314.60"
7/29/19,62.12,97.83,"1,310.90"
7/28/19,61.4,97.69,"1,315.20"
7/27/19,62.25,97.48,"1,301.80"
7/26/19,61.94,97.86,"1,299.20"
7/25/19,61.81,98.01,"1,289.90"
7/24/19,63.6,98.2,"1,313.80"
7/23/19,63.91,98.17,"1,315.20"
7/22/19,63.5,97.64,"1,299.40"
7/21/19,63.3,97.29,"1,318.60"
7/20/19,65.21,97.38,"1,309.50"
7/19/19,65.89,97.47,"1,297.40"
7/18/19,66.3,97.01,"1,291.20"
7/17/19,65.7,97.04,"1,295.80"
7/16/19,64,96.94,"1,277.90"
7/15/19,63.76,96.97,"1,306.00"
7/14/19,64.05,97.18,"1,306.70"
7/13/19,63.4,96.95,"1,307.30"
7/12/19,63.89,97.01,"1,321.60"
7/11/19,63.58,97.05,"1,313.40"
7/10/19,64.61,97.39,"1,323.10"
7/9/19,63.98,97.31,"1,343.60"
7/8/19,64.4,97.09,"1,338.10"
7/7/19,63.08,97.36,"1,331.60"
7/6/19,62.1,97.23,"1,325.30"
7/5/19,62.46,97.28,"1,323.80"
7/4/19,62.58,97.2,"1,324.90"
7/3/19,61.59,96.77,"1,325.10"
7/2/19,60.14,96.74,"1,323.80"
7/1/19,59.3,96.57,"1,328.00"
6/30/19,59.41,96.65,"1,324.60"
6/29/19,59.94,96.5,"1,346.00"
6/28/19,58.82,95.76,"1,350.80"
6/27/19,59.04,96.38,"1,358.20"
6/26/19,59.98,96.52,"1,348.10"
6/25/19,59.83,96.59,"1,343.20"
6/24/19,59.03,96.78,"1,337.70"
6/23/19,59.09,96.55,"1,342.90"
6/22/19,58.52,96.94,"1,337.60"
6/21/19,58.61,97.22,"1,338.90"
6/20/19,58.26,97.31,"1,331.20"
6/19/19,56.87,97.67,"1,345.70"
6/18/19,56.79,96.87,"1,322.40"
6/17/19,56.07,96.87,"1,327.40"
6/16/19,56.66,96.68,"1,335.90"
6/15/19,56.22,96.53,"1,322.30"
6/14/19,56.56,96.16,"1,324.10"
6/13/19,56.59,96.15,"1,321.10"
6/12/19,55.8,96,"1,323.90"
6/11/19,57.22,96.41,"1,335.80"
6/10/19,56.94,96.51,"1,352.80"
6/9/19,55.5,96.61,"1,358.10"
6/8/19,55.48,96.45,"1,365.50"
6/7/19,57.26,96.52,"1,366.40"
6/6/19,56.96,96.9,"1,369.90"
6/5/19,56.92,96.9,"1,364.70"
6/4/19,56.09,96.98,"1,384.90"
6/3/19,56.27,97.13,"1,381.90"
6/2/19,56.33,96.71,"1,329.55"
6/1/19,55.59,97.06,"1,324.25"
5/31/19,54.41,96.64,"1,346.80"
5/30/19,53.9,96.51,"1,338.70"
5/29/19,53.1,96.39,"1,352.60"
5/28/19,52.41,96.07,"1,338.90"
5/27/19,52.72,95.85,"1,349.40"
5/26/19,52.64,95.58,"1,356.00"
5/25/19,54.01,95.58,"1,351.80"
5/24/19,53.66,95.34,"1,352.00"
5/23/19,54.56,95.82,"1,356.90"
5/22/19,55.26,95.75,"1,356.50"
5/21/19,53.79,95.79,"1,347.10"
5/20/19,54.23,96.6,"1,362.40"
5/19/19,53.31,96.12,"1,353.20"
5/18/19,51.99,96.3,"1,352.70"
5/17/19,53.69,96.34,"1,347.10"
5/16/19,53.13,96.34,"1,341.30"
5/15/19,52.62,96.06,"1,322.90"
5/14/19,52.57,96.06,"1,315.20"
5/13/19,54.24,96.04,"1,314.20"
5/12/19,53.65,95.61,"1,279.05"
5/11/19,53.8,95.67,"1,282.05"
5/10/19,52.07,95.54,"1,313.80"
5/9/19,52.31,95.22,"1,323.60"
5/8/19,52.11,95.9,"1,325.10"
5/7/19,50.51,95.67,"1,319.70"
5/6/19,51.59,96.18,"1,335.30"
5/5/19,52.59,96.31,"1,333.20"
5/4/19,52.36,96.82,"1,319.20"
5/3/19,49.78,96.17,"1,323.50"
5/2/19,48.52,96.17,"1,317.40"
5/1/19,47.96,96.4,"1,333.40"
4/30/19,47.09,96.48,"1,329.20"
4/29/19,46.54,97.05,"1,338.00"
4/28/19,45.89,96.55,"1,327.20"
4/27/19,45.41,96.55,"1,283.35"
4/26/19,45.33,96.96,"1,312.50"
4/25/19,44.61,96.28,"1,313.70"
4/24/19,46.22,97.03,"1,311.90"
4/23/19,43.16,97.1,"1,303.70"
4/22/19,42.53,97.1,"1,270.75"
4/21/19,45.59,97.44,"1,302.40"
4/20/19,45.88,97.06,"1,288.60"
4/19/19,47.2,97.04,"1,310.40"
4/18/19,46.24,97.39,"1,286.80"
4/17/19,49.88,97.22,"1,284.00"
4/16/19,51.2,96.51,"1,282.60"
4/15/19,52.58,96.81,"1,272.20"
4/14/19,51.15,97.07,"1,278.40"
4/13/19,51.65,96.97,"1,281.00"
4/12/19,51,97.04,"1,290.10"
4/11/19,52.61,97.27,"1,292.00"
4/10/19,51.49,96.78,"1,295.80"
4/9/19,52.89,96.79,"1,286.50"
4/8/19,53.25,97.37,"1,273.40"
4/7/19,52.95,97.07,"1,277.40"
4/6/19,50.93,96.92,"1,282.40"
4/5/19,51.45,96.71,"1,256.50"
4/4/19,50.29,96.71,"1,273.00"
4/3/19,51.56,96.84,"1,260.20"
4/2/19,51.63,96.19,"1,250.40"
4/1/19,50.42,96.47,"1,259.70"
3/31/19,54.02,96.93,"1,272.10"
3/30/19,54.63,96.8,"1,228.00"
3/29/19,53.43,97.3,"1,264.70"
3/28/19,56.76,97.54,"1,257.50"
3/27/19,56.46,96.91,"1,261.60"
3/26/19,56.46,96.72,"1,259.00"
3/25/19,56.25,96,"1,251.70"
3/24/19,55.69,96.32,"1,246.20"
3/23/19,59.93,96.28,"1,237.50"
3/22/19,60.19,96.54,"1,239.60"
3/21/19,60.67,96.28,"1,245.00"
3/20/19,61.67,97.13,"1,262.00"
3/19/19,62.21,97.01,"1,265.40"
3/18/19,63.1,96.58,"1,263.00"
3/17/19,63.14,96.36,"1,269.00"
3/16/19,63.69,96.68,"1,269.90"
3/15/19,65.31,96.43,"1,274.80"
3/14/19,66.18,95.96,"1,250.80"
3/13/19,67.04,96.01,"1,261.50"
3/12/19,67.59,95.71,"1,263.70"
3/11/19,67.33,95.9,"1,272.30"
3/10/19,66.82,95.58,"1,269.00"
3/9/19,66.43,95.05,"1,267.60"
3/8/19,69.17,95.06,"1,273.50"
3/7/19,69.12,95.22,"1,261.30"
3/6/19,68.65,95.02,"1,265.30"
3/5/19,69.75,95.51,"1,266.60"
3/4/19,71.92,95.67,"1,263.40"
3/3/19,71.78,95.76,"1,267.30"
3/2/19,71.34,95.62,"1,266.90"
3/1/19,70.97,95.75,"1,258.10"
2/28/19,73.17,95.76,"1,264.00"
2/27/19,74.96,95.51,"1,229.40"
2/26/19,74.29,95.3,"1,227.80"
2/25/19,74.34,95.13,"1,224.90"
2/24/19,74.33,94.89,"1,242.20"
2/23/19,76.41,94.19,"1,237.50"
2/22/19,75.23,94.13,"1,238.70"
2/21/19,75.3,94.19,"1,242.70"
2/20/19,73.25,94.22,"1,227.00"
2/19/19,72.12,93.91,"1,231.30"
2/18/19,71.57,94.54,"1,222.40"
2/17/19,72.28,94.64,"1,234.40"
2/16/19,72.08,94.5,"1,240.80"
2/15/19,70.78,94.93,"1,240.00"
2/14/19,70.8,94.52,"1,236.90"
2/13/19,71.12,94.8,"1,247.00"
2/12/19,69.85,95.25,"1,244.10"
2/11/19,68.91,95.15,"1,238.30"
2/10/19,68.99,95.36,"1,241.20"
2/9/19,68.59,95.02,"1,236.60"
2/8/19,70.37,95.18,"1,243.80"
2/7/19,69.25,95.44,"1,246.60"
2/6/19,67.54,95.14,"1,237.60"
2/5/19,67.75,95.14,"1,235.00"
2/4/19,67.77,94.72,"1,235.50"
2/3/19,68.72,94.6,"1,239.10"
2/2/19,69.87,94.72,"1,236.00"
2/1/19,70.12,94.78,"1,233.60"
1/31/19,69.92,95.15,"1,206.30"
1/30/19,69.8,95.67,"1,204.90"
1/29/19,70.25,95.15,"1,241.10"
1/28/19,69.51,95.26,"1,239.50"
1/27/19,68.53,95.9,"1,246.50"
1/26/19,68.87,96.1,"1,249.60"
1/25/19,68.72,96.64,"1,251.20"
1/24/19,67.83,96.7,"1,248.20"
1/23/19,67.86,96.73,"1,228.40"
1/22/19,67.35,96.39,"1,238.20"
1/21/19,66.43,96.36,"1,234.90"
1/20/19,65.91,95.5,"1,229.60"
1/19/19,65.46,95.05,"1,219.30"
1/18/19,65.01,95.22,"1,219.20"
1/17/19,67.04,95.36,"1,220.20"
1/16/19,67.2,95.14,"1,236.40"
1/15/19,67.63,95.16,"1,234.60"
1/14/19,66.81,94.62,"1,255.10"
1/13/19,66.94,94.49,"1,256.30"
1/12/19,69.17,94.32,"1,257.30"
1/11/19,69.01,94.67,"1,254.70"
1/10/19,68.49,94.75,"1,254.10"
1/9/19,68.96,94.36,"1,259.70"
1/8/19,67.66,94.61,"1,256.50"
1/7/19,68.76,94.67,"1,264.30"
1/6/19,70.13,94.45,"1,270.10"
1/5/19,68.69,95.15,"1,268.00"
1/4/19,69.61,95.08,"1,269.30"
1/3/19,69.3,94.94,"1,271.80"
1/2/19,68.52,94.51,"1,277.40"
1/1/19,67.89,94.75,"1,271.50"
12/31/18,70.46,94.81,"1,271.40"
12/30/18,69.46,94.72,"1,277.50"
12/29/18,68.76,94.15,"1,271.10"
12/28/18,68.08,94.08,"1,275.70"
12/27/18,68.06,94.04,"1,275.30"
12/26/18,71.01,94.47,"1,288.20"
12/25/18,70.33,94.67,"1,289.70"
12/24/18,70.38,94.67,"1,295.40"
12/23/18,74.11,95.03,"1,293.30"
12/22/18,73.85,94.64,"1,305.10"
12/21/18,73.8,95.39,"1,309.00"
12/20/18,72.94,95.27,"1,304.80"
12/19/18,74.13,94.66,"1,307.60"
12/18/18,74.14,94.28,"1,258.10"
12/17/18,73.94,94.52,"1,302.40"
12/16/18,74.15,94.74,"1,289.90"
12/15/18,73.45,95.06,"1,303.90"
12/14/18,72.76,95.08,"1,300.20"
12/13/18,70.53,94.8,"1,305.70"
12/12/18,68.08,94.79,"1,309.60"
12/11/18,68.58,94.77,"1,319.20"
12/10/18,65.54,93.71,"1,321.30"
12/9/18,66.22,93.8,"1,321.00"
12/8/18,65.07,93.58,"1,325.30"
12/7/18,65.85,93.55,"1,329.20"
12/6/18,65.06,93.4,"1,331.10"
12/5/18,66.89,93.66,"1,329.30"
12/4/18,66.64,93.9,"1,360.60"
12/3/18,66.36,94.02,"1,353.50"
12/2/18,66.1,94.19,"1,351.80"
12/1/18,65.74,93.98,"1,355.50"
11/30/18,65.95,94.15,"1,354.40"
11/29/18,64.73,94.83,"1,354.40"
11/28/18,65.52,94.19,"1,353.50"
11/27/18,64.75,94.19,"1,354.10"
11/26/18,65.81,93.76,"1,349.40"
11/25/18,67.04,94,"1,350.90"
11/24/18,68.21,93.61,"1,355.90"
11/23/18,66.73,93.68,"1,357.60"
11/22/18,67.05,93.64,"1,354.60"
11/21/18,67.36,93.47,"1,297.60"
11/20/18,67.88,93.39,"1,298.30"
11/19/18,70.71,93.22,"1,361.40"
11/18/18,71.84,92.59,"1,362.40"
11/17/18,72.13,92.54,"1,347.40"
11/16/18,72.24,92.65,"1,350.00"
11/15/18,71.28,93.04,"1,349.00"
11/14/18,71.49,93.12,"1,349.20"
11/13/18,71.49,92.75,"1,347.90"
11/12/18,71.31,92.57,"1,350.10"
11/11/18,70.96,92.41,"1,348.50"
11/10/18,70.7,92.51,"1,376.60"
11/9/18,71.36,92.45,"1,379.10"
11/8/18,71.14,91.84,"1,380.80"
11/7/18,69.06,91.54,"1,371.70"
11/6/18,70.73,91.56,"1,372.50"
11/5/18,69.72,91.17,"1,372.90"
11/4/18,68.43,90.77,"1,373.40"
11/3/18,67.93,90.95,"1,371.10"
11/2/18,67.25,90.32,"1,364.00"
11/1/18,68.57,89.94,"1,365.10"
10/31/18,68.1,89.62,"1,377.80"
10/30/18,68.19,89.52,"1,382.30"
10/29/18,68.05,89.42,"1,376.70"
10/28/18,67.7,89.8,"1,381.60"
10/27/18,68.64,89.75,"1,391.80"
10/26/18,68.38,89.57,"1,382.70"
10/25/18,68.29,89.59,"1,396.90"
10/24/18,68.47,89.84,"1,407.50"
10/23/18,66.52,90.11,"1,412.20"
10/22/18,66.22,90.46,"1,408.00"
10/21/18,67.39,90.14,"1,409.30"
10/20/18,67.07,90.2,"1,406.60"
10/19/18,66.82,90.05,"1,400.30"
10/18/18,65.51,89.97,"1,418.90"
10/17/18,63.42,90.15,"1,404.40"
10/16/18,62.06,90.06,"1,398.50"
10/15/18,63.54,89.33,"1,394.80"
10/14/18,63.37,89.03,"1,387.00"
10/13/18,63.51,89.48,"1,398.60"
10/12/18,63.01,89.86,"1,395.40"
10/11/18,64.94,89.78,"1,404.70"
10/10/18,64.38,90.37,"1,384.90"
10/9/18,65.25,89.77,"1,387.80"
10/8/18,65.55,90.23,"1,406.70"
10/7/18,65.88,90.14,"1,419.90"
10/6/18,64.3,89.7,"1,413.90"
10/5/18,65.17,89.66,"1,391.10"
10/4/18,63.4,89.89,"1,385.50"
10/3/18,62.06,90.09,"1,375.10"
10/2/18,62.34,90.18,"1,380.60"
10/1/18,61.19,89.64,"1,375.20"
9/30/18,60.96,89.62,"1,380.60"
9/29/18,60.71,90.08,"1,388.60"
9/28/18,61.36,89.94,"1,390.30"
9/27/18,62.04,90.32,"1,383.70"
9/26/18,60.12,90.61,"1,386.90"
9/25/18,61.15,90.36,"1,384.00"
9/24/18,62.6,89.85,"1,389.50"
9/23/18,62.57,89.88,"1,397.50"
9/22/18,61.25,89.74,"1,382.10"
9/21/18,60.99,90,"1,385.80"
9/20/18,61.64,89.72,"1,367.60"
9/19/18,63.01,89.1,"1,380.80"
9/18/18,63.91,89.1,"1,381.30"
9/17/18,63.55,88.59,"1,394.80"
9/16/18,62.77,89.12,"1,390.70"
9/15/18,61.68,89.7,"1,393.10"
9/14/18,61.9,90.21,"1,392.30"
9/13/18,62.38,90.44,"1,390.10"
9/12/18,61.72,90.23,"1,347.80"
9/11/18,61.68,90.25,"1,350.50"
9/10/18,61.34,89.58,"1,415.00"
9/9/18,60.6,89.55,"1,413.70"
9/8/18,59.19,89.19,"1,415.10"
9/7/18,59.29,88.67,"1,387.00"
9/6/18,59.2,89.13,"1,383.10"
9/5/18,61.15,89.16,"1,372.30"
9/4/18,61.79,89.31,"1,376.40"
9/3/18,63.39,89.07,"1,372.30"
9/2/18,64.15,89.39,"1,387.00"
9/1/18,65.45,89.21,"1,394.50"
8/31/18,65.8,90.12,"1,396.20"
8/30/18,64.73,90.4,"1,406.70"
8/29/18,64.5,90.57,"1,401.70"
8/28/18,65.56,90.5,"1,398.50"
8/27/18,66.14,90.54,"1,403.60"
8/26/18,65.51,90.39,"1,416.00"
8/25/18,65.61,90.97,"1,425.90"
8/24/18,64.47,90.97,"1,419.10"
8/23/18,63.49,91.85,"1,398.20"
8/22/18,63.37,92.33,"1,394.00"
8/21/18,63.95,92.53,"1,394.30"
8/20/18,63.97,92.36,"1,387.40"
8/19/18,63.73,91.95,"1,399.70"
8/18/18,64.73,91.85,"1,396.80"
8/17/18,64.28,92.16,"1,341.80"
8/16/18,64.3,91.87,"1,337.40"
8/15/18,63.8,92.25,"1,394.40"
8/14/18,63.57,92.28,"1,380.10"
8/13/18,62.96,92.12,"1,377.00"
8/12/18,61.73,92.6,"1,370.00"
8/11/18,61.44,93.03,"1,376.80"
8/10/18,62.01,93.26,"1,378.40"
8/9/18,61.63,93.35,"1,377.40"
8/8/18,60.37,93.35,"1,374.20"
8/7/18,60.24,93.28,"1,370.50"
8/6/18,60.42,93.31,"1,308.70"
8/5/18,59.84,93.44,"1,362.60"
8/4/18,59.64,93.69,"1,350.10"
8/3/18,59.97,93.93,"1,343.00"
8/2/18,58.59,93.49,"1,339.20"
8/1/18,58.47,93.43,"1,277.90"
7/31/18,58.36,94.1,"1,330.50"
7/30/18,58.09,93.87,"1,322.00"
7/29/18,57.46,93.9,"1,321.10"
7/28/18,57.16,93.8,"1,315.50"
7/27/18,57.3,93.61,"1,316.30"
7/26/18,57.04,93.38,"1,308.10"
7/25/18,56.6,93.19,"1,307.90"
7/24/18,57.14,92.89,"1,299.40"
7/23/18,57.99,93.05,"1,292.60"
7/22/18,57.36,93.16,"1,297.50"
7/21/18,56.69,93.27,"1,298.80"
7/20/18,55.96,92.9,"1,303.70"
7/19/18,57.62,92.78,"1,316.90"
7/18/18,57.47,93.22,"1,315.80"
7/17/18,58.36,93.22,"1,328.70"
7/16/18,57.4,93.95,"1,333.50"
7/15/18,57.3,94.08,"1,328.00"
7/14/18,57.99,93.66,"1,337.10"
7/13/18,58.11,93.93,"1,349.70"
7/12/18,58.95,93.81,"1,349.40"
7/11/18,58.38,93.83,"1,342.30"
7/10/18,58.02,94.49,"1,291.66"
7/9/18,56.83,94.39,"1,347.10"
7/8/18,56.09,94.44,"1,336.50"
7/7/18,56.55,94.87,"1,329.40"
7/6/18,55.14,94.91,"1,350.10"
7/5/18,55.33,94.76,"1,331.50"
7/4/18,55.7,94.94,"1,330.80"
7/3/18,56.76,94.69,"1,336.30"
7/2/18,56.74,94.81,"1,332.50"
7/1/18,57.17,94.55,"1,327.10"
6/30/18,56.81,94.56,"1,339.40"
6/29/18,57.2,94.92,"1,334.90"
6/28/18,57.35,94.61,"1,326.50"
6/27/18,55.64,93.71,"1,332.40"
6/26/18,54.54,93.77,"1,319.80"
6/25/18,54.3,93.94,"1,328.30"
6/24/18,54.38,93.7,"1,327.50"
6/23/18,54.15,93.16,"1,320.60"
6/22/18,53.9,93.36,"1,327.80"
6/21/18,52.64,93.51,"1,322.00"
6/20/18,52.18,93.31,"1,320.30"
6/19/18,52.47,93.09,"1,329.70"
6/18/18,51.9,93.06,"1,328.40"
6/17/18,51.47,93.02,"1,331.10"
6/16/18,51.29,93.29,"1,330.40"
6/15/18,52.04,93.67,"1,340.10"
6/14/18,51.88,93.8,"1,333.50"
6/13/18,51.87,93.96,"1,336.70"
6/12/18,51.45,93.46,"1,353.90"
6/11/18,50.6,93.57,"1,354.70"
6/10/18,51.3,93.56,"1,346.60"
6/9/18,50.92,93.08,"1,338.80"
